,covid_cases_geocode
1483,4116901
1484,1303106
1485,2609808
1486,2610202
1487,2108207
1488,3150406
1489,4121000
1490,2611533
1491,1506138
1492,5107206
1493,1303569
1494,2927002
1495,2413409
1496,2930402
1497,1600055
1498,1507102
1499,3161106
1500,3161601
1501,1507508
1502,2111102
1503,3168606
1504,2807501
1505,4322004
1506,2313807
1507,3500303
1508,1500404
1509,2900900
1510,2300705
1511,2700201
1512,1500701
1513,3300159
1514,3503604
1515,2700508
1516,3505609
1517,5203203
1518,3506607
1519,3108602
1520,3509254
1521,2603504
1522,2905909
1523,2303402
1524,2202604
1525,2103307
1526,1502756
1527,2604601
1528,5103353
1529,2304277
1530,4307054
1531,3515186
1532,2506301
1533,2306009
1534,3523305
1535,4208609
1536,2405801
1537,2105708
1538,2919405
1539,2704203
1540,3527405
1541,2205805
1542,3302452
1543,1302553
1544,3529906
1545,2106904
1546,3143609
1547,2206704
1548,1303007
1549,5215231
1550,2309805
1551,3535309
1552,2706448
1553,1600154
1554,3539301
1555,3539509
1556,3545001
1557,4316758
1558,3547502
1559,4126603
1560,2313005
1561,2929354
1562,1507474
1563,3550803
1564,1720804
1565,2614857
1566,3169356
1567,4322103
1568,1101708
1569,4219176
1570,3306206
1571,2616506
1572,2200202
1573,2600302
1574,2500304
1575,2100477
1576,2200459
1577,3101508
1578,1300060
1579,1500859
1580,1500958
1581,4202057
1582,3505302
1583,4102604
1584,3106309
1585,3106408
1586,2302404
1587,2201903
1588,3507407
1589,2302503
1590,2502805
1591,1300839
1592,2503001
1593,4303673
1594,5204706
1595,2302701
1596,2303105
1597,1301308
1598,3512407
1599,2604700
1600,2504850
1601,2909802
1602,2702405
1603,3514007
1604,2103802
1605,3515152
1606,3124500
1607,3515202
1608,4308250
1609,1301605
1610,4109609
1611,3517406
1612,2606606
1613,2204659
1614,3131406
1615,2507002
1616,1600253
1617,3523602
1618,3525201
1619,2205508
1620,3526100
1621,2608404
1622,3526605
1623,1504000
1624,4114104
1625,2205904
1626,2704500
1627,2920601
1628,3203346
1629,3529203
1630,5213103
1631,2407708
1632,4313003
1633,2309201
1634,4313300
1635,1505007
1636,1303304
1637,1505502
1638,2511202
1639,2706802
1640,1505700
1641,1505908
1642,4315305
1643,5107065
1644,2311355
1645,4316501
1646,3166105
1647,3551603
1648,1304005
1649,2929701
1650,2312304
1651,2110856
1652,2111003
1653,2708600
1654,3305307
1655,1304104
1656,1508001
1657,2615607
1658,3169604
1659,2313757
1660,1508308
1661,1500503
1662,2200707
1663,2501104
1664,4301404
1665,2401206
1666,2601805
1667,3106903
1668,3507100
1669,2502508
1670,3507456
1671,2603009
1672,2905503
1673,2202307
1674,2303931
